Defecator,Class,Order,Family,Genus,Species,CommonName,PreyGroup,FOO,wPOO
Marten,Aves,Passeriformes,Tyrannidae,Sayornis,Sayornis phoebe,Eastern phoebe,BirdsSmall,0.58,0.74
Marten,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,Mule deer,MammalsLarge,0.58,0.74
Marten,Mammalia,Carnivora,Canidae,Canis,Canis latrans,Coyote,MammalsLarge,0.58,0.37
Marten,Mammalia,Euliptophyla,Talpidae,Scapanus,Scapanus latimanus,Northern broad-footed mole,MammalsSmall,2.34,2.59
Marten,Mammalia,Lagomorpha,Ochotonidae,Ochotona,Ochotona princeps,American pika,MammalsSmall,1.75,1.85
Marten,Mammalia,Rodentia,Cricetidae,Microtus,Microtus longicaudus,Long-tailed vole,MammalsSmall,19.88,18.52
Marten,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus,Montane vole,MammalsSmall,1.17,0.74
Marten,Mammalia,Rodentia,Cricetidae,Microtus,Microtus sp.,Vole species,MammalsSmall,1.75,0.99
Marten,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma cinerea,Bushy-tailed woodrat,MammalsSmall,5.26,5.93
Marten,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus boylii,Brush mouse,MammalsSmall,1.17,1.11
Marten,Mammalia,Rodentia,Cricetidae,Peromyscus,Peromyscus sp.,Mouse species,MammalsSmall,19.30,17.90
Marten,Mammalia,Rodentia,Cricetidae,Phenacomys,Phenacomys intermedius,Western heather vole,MammalsSmall,2.34,2.22
Marten,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys sp.,Pocket-gopher species,MammalsSmall,1.17,1.48
Marten,Mammalia,Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis,Golden-mantled ground squirrel,MammalsMedium,8.77,10.25
Marten,Mammalia,Rodentia,Sciuridae,Glaucomys,Glaucomys sabrinus,Northern flying squirrel,MammalsSmall,0.58,0.37
Marten,Mammalia,Rodentia,Sciuridae,Marmota,Marmota flaviventris,Yellow-bellied marmot,MammalsMedium,4.09,4.07
Marten,Mammalia,Rodentia,Sciuridae,Tamias,Tamias amoenus,Yellow-pine chipmunk,MammalsSmall,7.60,8.52
Marten,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus douglasii,Douglas' squirrels,MammalsSmall,4.68,5.19
