"PreyTaxa","POO","RRA","wPOO","Species","reads"
"Puma concolor",0.098135426889107,0.0474158368895211,0.0711237553342817,"Coyote",15514
"Rana muscosa",0.785083415112856,0.782361308677098,0.806069227121859,"Coyote",675404
"Salvelinus sp.",4.41609421000981,2.94215267899478,3.34281650071124,"Coyote",1250907
"Sayornis phoebe",0.098135426889107,0.142247510668563,0.142247510668563,"Coyote",88832
"Scapanus latimanus",0.98135426889107,0.924608819345662,0.924608819345662,"Coyote",190227
"Sitta sp.",0.196270853778214,0.0829777145566619,0.118539592223803,"Coyote",119325
"Sus scrofa",0.196270853778214,0.0995732574679943,0.118539592223803,"Coyote",8768
"Tamias amoenus",1.66830225711482,1.21621621621622,1.24466571834993,"Coyote",378608
"Tamias sp.",0.294406280667321,0.165955429113324,0.189663347558084,"Coyote",109166
"Tamiasciurus douglasii",0.294406280667321,0.196775723091513,0.165955429113324,"Coyote",71929
"Thomomys sp.",0.588812561334642,0.474158368895211,0.486012328117591,"Coyote",12533
"Turdus sp.",0.294406280667321,0.0995732574679943,0.154101469890944,"Coyote",126516
"Urocitellus beldingi",3.63101079489696,3.06780464675202,3.09388335704125,"Coyote",834066
"Ursus americanus",0.098135426889107,0.0711237553342817,0.0711237553342817,"Coyote",5726
"Vulpes vulpes",0.392541707556428,0.308202939781887,0.260787102892366,"Coyote",39852
"Callospermophilus lateralis",8.06451612903226,9.41860465116279,8.72093023255814,"Grayfox",496447
"Equus caballus",1.61290322580645,2.32558139534884,2.32558139534884,"Grayfox",1201
"Glaucomys sabrinus",4.83870967741935,4.65116279069767,4.65116279069767,"Grayfox",64004
"Junco hyemalis",4.83870967741935,4.26356589147287,4.65116279069767,"Grayfox",49416
"Microtus longicaudus",4.83870967741935,6.2015503875969,5.81395348837209,"Grayfox",76884
"Oreortyx pictus",8.06451612903226,9.30232558139535,9.30232558139535,"Grayfox",170228
"Peromyscus boylii",3.2258064516129,3.48837209302326,3.48837209302326,"Grayfox",32714
"Peromyscus sp.",37.0967741935484,36.7829457364341,38.5658914728682,"Grayfox",1242539
"Pipilo maculatus",6.45161290322581,5.81395348837209,5.81395348837209,"Grayfox",62123
"Plestiodon gilberti",1.61290322580645,0.581395348837209,0.581395348837209,"Grayfox",5923
"Sphyrapicus varius",1.61290322580645,1.16279069767442,1.16279069767442,"Grayfox",44263
"Tamias sp.",8.06451612903226,7.75193798449612,7.75193798449612,"Grayfox",183758
"Tamiasciurus douglasii",4.83870967741935,4.18604651162791,3.10077519379845,"Grayfox",339006
"Taricha granulosa",1.61290322580645,0.581395348837209,0.581395348837209,"Grayfox",5923
"Thomomys sp.",1.61290322580645,1.16279069767442,1.16279069767442,"Grayfox",9384
"Vulpes vulpes",1.61290322580645,2.32558139534884,2.32558139534884,"Grayfox",640
"Callospermophilus lateralis",8.7719298245614,10.3703703703704,10.2469135802469,"Marten",835270
"Canis latrans",0.584795321637427,0.37037037037037,0.37037037037037,"Marten",43144
"Catharus fuscescens",1.16959064327485,0.987654320987654,0.987654320987654,"Marten",53923
"Cyanocitta stelleri",1.16959064327485,0.555555555555556,0.740740740740741,"Marten",101115
"Dendragapus fuliginosus",1.75438596491228,2.22222222222222,2.22222222222222,"Marten",290251
"Glaucomys sabrinus",0.584795321637427,0.37037037037037,0.37037037037037,"Marten",38462
"Junco hyemalis",4.67836257309941,3.82716049382716,3.95061728395062,"Marten",332209
"Marmota flaviventris",4.09356725146199,4.44444444444444,4.07407407407407,"Marten",273610
"Microtus longicaudus",19.8830409356725,18.5288065843621,18.5185185185185,"Marten",1620246
"Microtus montanus",1.16959064327485,0.740740740740741,0.740740740740741,"Marten",36994
"Microtus sp.",1.75438596491228,1.51234567901235,0.987654320987654,"Marten",470264
"Myadestes townsendi",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",7918
"Neotoma cinerea",5.26315789473684,5.92592592592593,5.92592592592593,"Marten",161969
"Ochotona princeps",1.75438596491228,1.97530864197531,1.85185185185185,"Marten",346010
"Odocoileus sp.",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",421
"Oncorhynchus sp.",1.16959064327485,1.48148148148148,1.48148148148148,"Marten",6168
"Oreortyx pictus",1.16959064327485,1.48148148148148,1.48148148148148,"Marten",42282
"Peromyscus boylii",1.16959064327485,1.11111111111111,1.11111111111111,"Marten",13489
"Peromyscus sp.",19.2982456140351,16.9958847736625,17.9012345679012,"Marten",700021
"Phainopepla nitens",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",20386
"Phenacomys intermedius",2.33918128654971,2.22222222222222,2.22222222222222,"Marten",183319
"Pipilo maculatus",1.16959064327485,1.11111111111111,1.11111111111111,"Marten",69147
"Pseudacris sierra",1.16959064327485,0.987654320987654,1.11111111111111,"Marten",58629
"Salvelinus sp.",1.16959064327485,0.987654320987654,1.11111111111111,"Marten",39277
"Sayornis phoebe",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",50013
"Scapanus latimanus",2.33918128654971,2.59259259259259,2.59259259259259,"Marten",94415
"Tamias amoenus",7.60233918128655,8.95061728395062,8.51851851851852,"Marten",933060
"Tamiasciurus douglasii",4.67836257309941,5.06172839506173,5.18518518518519,"Marten",375735
"Thomomys sp.",1.16959064327485,1.48148148148148,1.48148148148148,"Marten",5445
"Turdus sp.",0.584795321637427,0.740740740740741,0.740740740740741,"Marten",31750
